id,detil,title,avgprice,comments,avgscore,fornting,address
17a5151f0ba677d83315fe9b8d034c5a,http://e.meituan.com/meishi/3282858/,茶宇咖啡,25,300,5,https://img.meituan.net/600.600/msmerchant/306d37096a92e4a460751558e0baa96158340.jpg,仓山区上三路兰庭新天地8座16店面（师范附近）
1742639c46cf6b51eb0b11046ea5b629,http://e.meituan.com/meishi/1875982/,水丽苑乡土菜（温泉路店）,46,34,5,http://p0.meituan.net/600.600/poi/96b057e9b54345cc4c7e659768180768104448.jpg,鼓楼区温泉路13号-2号店（老福洲旁）
c073ee3d075adfcf5e457625e245de06,http://e.meituan.com/meishi/2419944/,金誉烘焙（名城港湾店）,10,30,4,https://img.meituan.net/600.600/msmerchant/c556b4fc635559b08c26d65aa53a6d07102636.jpg,马尾区名城港湾名郡56号13店面
a5aac2000ad807e87865250730e9d922,http://e.meituan.com/meishi/2658146/,关东农家（怡丰花园店）,47,119,5,http://p1.meituan.net/600.600/deal/__48445482__7756444.jpg,台江区八一七南路874号怡丰花园C座7号店
68b18be07b28c9225e19f6d128cb441a,http://e.meituan.com/meishi/5905898/,鸡排风云（龙华店）,15,31,4,http://p0.meituan.net/600.600/poi/2fcb45d9e11c039d53a2289ee8142f0049152.jpg,连江县中心城区文山北路6号龙华花园15号楼1楼
716e4f4ed27a64212475323bc4f1f6fc,http://e.meituan.com/meishi/66274286/,年年大丰收（东二环泰禾店）,84,1753,5,http://p0.meituan.net/600.600/mogu/922fe1a58cc0c45ad7969a2bdd9ef60c62879.jpg,晋安区东二环泰禾广场2层15号楼243室
b6a2e13d02206aa0749f79618afb6b22,http://e.meituan.com/meishi/63559897/,浅寻日式料理（泰禾店）,170,119,5,http://p0.meituan.net/600.600/msmerchant/0e36e98765b967addfccf02a44b479f1139515.jpg,晋安区东二环泰禾广场泰禾商业中心6层L608店
849431a286b4b32ba97f85f5ed8cdca8,http://e.meituan.com/meishi/1469018/,牛太郎烧烤城（国际明珠店）,74,1943,4,http://p0.meituan.net/600.600/mogu/723aaf3cd5be89e8d824f744e1b4bea1539936.jpg,长乐市中心城区吴航街道西洋中路110号国际明珠3楼C-D区商场
36f5972f8e82573950c6320e8658541e,http://e.meituan.com/meishi/5263950/,印咖啡,86,404,4,http://p1.meituan.net/600.600/xianfu/46da374d867e83ebaee93761b23384e949152.jpg,仓山区南江滨西大道136号世欧上江城A区正对面（江滨公园内）
b63be4cdf28f264e93f29bb92617c309,http://e.meituan.com/meishi/5632254/,口口香渔庄,35,60,5,http://p0.meituan.net/600.600/poi/4aed591c230dbf855d9fd450898e87b730720.jpg,鼓楼区八一七北路268号冠亚广场4号楼1层04店面
